creation_time,bytes_in,bytes_out,end_time,src_ip,src_ip_country_code,time,traffic_ratio,hour_of_day,day_of_week,byte_interaction,anomaly_score,anomaly
2024-04-25 23:00:00+00:00,-0.28821898308929617,-0.2812227163556807,2024-04-25 23:10:00+00:00,147.161.161.82,0,2024-04-25 23:00:00+00:00,0.8636416443242942,23,3,-0.21690098560036178,1,0
2024-04-25 23:00:00+00:00,-0.2821083325450911,-0.2608042476158271,2024-04-25 23:10:00+00:00,165.225.33.6,6,2024-04-25 23:00:00+00:00,-0.6134863648317913,23,3,-0.21680891677705924,1,0
2024-04-25 23:00:00+00:00,-0.28268921856679624,-0.27934434298045935,2024-04-25 23:10:00+00:00,165.225.212.255,2,2024-04-25 23:00:00+00:00,-0.7123769597399808,23,3,-0.21684244992202287,1,0
2024-04-25 23:00:00+00:00,-0.28219669675288167,-0.27616132533625587,2024-04-25 23:10:00+00:00,136.226.64.114,6,2024-04-25 23:00:00+00:00,-0.7166754085660053,23,3,-0.21683262646755333,1,0
2024-04-25 23:00:00+00:00,-0.28799589967946426,-0.27767817078151824,2024-04-25 23:10:00+00:00,165.225.240.79,5,2024-04-25 23:00:00+00:00,0.701376201118041,23,3,-0.21689762014606745,1,0
2024-04-25 23:00:00+00:00,-0.28862845220517813,-0.31856226407817656,2024-04-25 23:10:00+00:00,136.226.77.103,2,2024-04-25 23:00:00+00:00,-0.3534247499504166,23,3,-0.21691211256680418,1,0
2024-04-25 23:00:00+00:00,-0.2852865468384106,-0.21749162974618394,2024-04-25 23:10:00+00:00,165.225.26.101,3,2024-04-25 23:00:00+00:00,0.28908677914271197,23,3,-0.2168171533881216,1,0
2024-04-25 23:00:00+00:00,0.8615574983973137,0.8133030915949376,2024-04-25 23:10:00+00:00,155.91.45.242,6,2024-04-25 23:00:00+00:00,-1.0634733906451923,23,3,0.04457197841715772,1,0
2024-04-25 23:00:00+00:00,-0.2870272734454323,-0.2713042761902861,2024-04-25 23:10:00+00:00,165.225.209.4,2,2024-04-25 23:00:00+00:00,0.14098069176302994,23,3,-0.21688391931429532,1,0
2024-04-25 23:00:00+00:00,-0.2872402167002718,-0.3071977121929463,2024-04-25 23:10:00+00:00,147.161.131.1,1,2024-04-25 23:00:00+00:00,-0.5516749943476775,23,3,-0.216903085988437,1,0
2024-04-25 23:10:00+00:00,-0.2757596297908273,-0.20308552766760365,2024-04-25 23:20:00+00:00,165.225.33.6,6,2024-04-25 23:10:00+00:00,-0.6251593985014704,23,3,-0.21656087240422697,1,0
2024-04-25 23:10:00+00:00,-0.2851865938820573,-0.2124459573324095,2024-04-25 23:20:00+00:00,136.226.67.101,6,2024-04-25 23:10:00+00:00,0.3174116509558283,23,3,-0.21681049139142072,1,0
2024-04-25 23:10:00+00:00,-0.2827978630845715,-0.3132808125796463,2024-04-25 23:20:00+00:00,165.225.212.255,2,2024-04-25 23:10:00+00:00,-0.9686529515686179,23,3,-0.21688917182524833,1,0
2024-04-25 23:10:00+00:00,-0.2717653744528846,-0.25790416487333057,2024-04-25 23:20:00+00:00,136.226.64.114,6,2024-04-25 23:10:00+00:00,-0.8966422552176656,23,3,-0.21665210919414363,1,0
2024-04-25 23:10:00+00:00,-0.2885864429916383,-0.2879345609683962,2024-04-25 23:20:00+00:00,94.188.248.74,4,2024-04-25 23:10:00+00:00,1.2446659823551487,23,3,-0.21690601602293527,1,0
2024-04-25 23:10:00+00:00,0.18578521778341858,-0.17990451398469445,2024-04-25 23:20:00+00:00,165.225.240.79,5,2024-04-25 23:10:00+00:00,-1.0988538921734465,23,3,-0.2025529636910253,1,0
2024-04-25 23:10:00+00:00,-0.2878916009424,-0.28175714894779386,2024-04-25 23:20:00+00:00,136.226.77.103,2,2024-04-25 23:10:00+00:00,0.4612235647824746,23,3,-0.21689784986113933,1,0
2024-04-25 23:10:00+00:00,-0.2875651845245507,-0.30760639593985634,2024-04-25 23:20:00+00:00,165.225.26.101,3,2024-04-25 23:10:00+00:00,-0.4710064734949862,23,3,-0.21690486411771753,1,0
2024-04-25 23:10:00+00:00,0.8704436542222845,0.8116054821846957,2024-04-25 23:20:00+00:00,155.91.45.242,6,2024-04-25 23:10:00+00:00,-1.0639499320537866,23,3,0.04620004298375987,1,0
2024-04-25 23:10:00+00:00,-0.28671775728590354,-0.23552087042717856,2024-04-25 23:20:00+00:00,165.225.209.4,2,2024-04-25 23:10:00+00:00,0.6622772522890132,23,3,-0.21685992893292574,1,0
2024-04-25 23:10:00+00:00,-0.2875902934797699,-0.3084237634336765,2024-04-25 23:20:00+00:00,147.161.131.1,1,2024-04-25 23:10:00+00:00,-0.48447239169731876,23,3,-0.21690530801454266,1,0
2024-04-25 23:20:00+00:00,-0.2824840011443318,-0.2638615164148275,2024-04-25 23:30:00+00:00,165.225.33.6,6,2024-04-25 23:20:00+00:00,-0.6094906460674416,23,3,-0.21681853694161032,1,0
2024-04-25 23:20:00+00:00,-0.283251272872087,-0.19944274080812632,2024-04-25 23:30:00+00:00,136.226.67.101,6,2024-04-25 23:20:00+00:00,-0.01351571538403694,23,3,-0.21674821234169356,1,0
2024-04-25 23:20:00+00:00,-0.2824955898928945,-0.2707619842953477,2024-04-25 23:30:00+00:00,165.225.213.7,2,2024-04-25 23:20:00+00:00,-0.6598045047015958,23,3,-0.2168283760957033,1,0
2024-04-25 23:20:00+00:00,-0.27506913352229995,-0.28264525016704073,2024-04-25 23:30:00+00:00,136.226.64.114,6,2024-04-25 23:20:00+00:00,-0.9362155069871541,23,3,-0.21677197358479044,1,0
